date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:58:56	37608/37608	---MC-	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202020%2000:58:54%20GMT	http://localhost/qtsc_starter1/index.php/blog/debate-over-paris-climate-deal-could-turn-on-a-single-phrase	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/index.php/blog/debate-over-paris-climate-deal-could-turn-on-a-single-phrase.html	(from http://localhost/qtsc_starter1/index.php/blog)
07:58:58	37125/37125	---MC-	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202020%2000:58:57%20GMT	http://localhost/qtsc_starter1/index.php/blog/the-making-of-a-legacy-first-steps-in-the-trump-era	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/index.php/blog/the-making-of-a-legacy-first-steps-in-the-trump-era.html	(from http://localhost/qtsc_starter1/index.php/blog)
07:59:00	11180/11180	---MC-	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202020%2000:58:59%20GMT	http://localhost/qtsc_starter1/index.php/blog/how-marching-for-science-risks-politicizing-it?tmpl=component&print=1&layout=default	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/index.php/blog/how-marching-for-science-risks-politicizing-it425e.html	(from http://localhost/qtsc_starter1/index.php/blog/how-marching-for-science-risks-politicizing-it)
07:59:03	17966/17966	---M--	200	added ('OK')	image/jpeg	etag:%22462e-565da89e02f80%22	http://localhost/qtsc_starter1/images/2018/02/23/blog12.jpg	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/images/2018/02/23/blog12.jpg	(from http://localhost/qtsc_starter1/index.php/blog/how-marching-for-science-risks-politicizing-it)
07:59:04	4682/4682	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202020%2000:59:04%20GMT	http://localhost/qtsc_starter1/index.php/component/mailto/?tmpl=component&template=shaper_helixultimate&link=7ac9e7ec03bd9ac0fa45593c55e8974a66f3a29d	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/index.php/component/mailto/indexe6a4.html	(from http://localhost/qtsc_starter1/index.php/blog/how-marching-for-science-risks-politicizing-it)
07:59:10	76841/76841	---M--	200	added ('OK')	image/jpeg	etag:%2212c29-565da906ea700%22	http://localhost/qtsc_starter1/images/2018/02/23/blog3.jpg	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/images/2018/02/23/blog3.jpg	(from http://localhost/qtsc_starter1/index.php/blog/how-marching-for-science-risks-politicizing-it)
07:59:11	11193/11193	---MC-	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202020%2000:59:10%20GMT	http://localhost/qtsc_starter1/index.php/blog/after-setbacks-and-suits-miami-to-open-science-museum?tmpl=component&print=1&layout=default	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/index.php/blog/after-setbacks-and-suits-miami-to-open-science-museum425e.html	(from http://localhost/qtsc_starter1/index.php/blog/after-setbacks-and-suits-miami-to-open-science-museum)
07:59:12	103430/103430	---M--	200	added ('OK')	image/jpeg	etag:%2219406-565dac29e8d80%22	http://localhost/qtsc_starter1/images/2018/02/23/blog10_thumbnail.jpg	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/images/2018/02/23/blog10_thumbnail.jpg	(from http://localhost/qtsc_starter1/index.php/blog)
07:59:12	4682/4682	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202020%2000:59:12%20GMT	http://localhost/qtsc_starter1/index.php/component/mailto/?tmpl=component&template=shaper_helixultimate&link=d3d4381d8a405fe6961a79cd0c3740b6545b9a08	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/index.php/component/mailto/index8549.html	(from http://localhost/qtsc_starter1/index.php/blog/after-setbacks-and-suits-miami-to-open-science-museum)
07:59:13	60706/60706	---M--	200	added ('OK')	image/jpeg	etag:%22ed22-565da96de9a00%22	http://localhost/qtsc_starter1/images/2018/02/23/blog4.jpg	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/images/2018/02/23/blog4.jpg	(from http://localhost/qtsc_starter1/index.php/blog/how-marching-for-science-risks-politicizing-it)
